timestamp,load,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,net_load,price
2024-03-23 09:00:00-05:00,42042.416666666664,4363.075,42.45,3732.9249999999993,124.31666666666666,11377.791666666666,4200.4833333333345,18420.591666666667,0.0,26464.141666666666,17.9
2024-03-23 10:00:00-05:00,42092.916666666664,3465.5749999999994,41.94166666666667,3733.4500000000003,100.8916666666667,13882.550000000001,4287.491666666667,16812.533333333333,0.0,23922.875,14.87
2024-03-23 11:00:00-05:00,41984.916666666664,3298.058333333334,41.925,3733.1,164.48333333333335,15574.908333333331,5017.2333333333345,14623.525000000001,0.0,21392.774999999998,14.7
2024-03-23 12:00:00-05:00,42235.083333333336,3282.6499999999996,41.90833333333334,3734.7666666666664,145.79166666666666,15493.883333333333,6992.641666666667,12790.841666666669,0.0,19748.55833333333,13.12
2024-03-23 13:00:00-05:00,42763.083333333336,3294.633333333333,41.949999999999996,3734.9999999999995,114.43333333333332,15762.749999999998,9080.491666666667,10852.133333333333,0.0,17919.841666666667,8.89
2024-03-23 14:00:00-05:00,43138.0,3261.4083333333333,41.975,3735.241666666667,79.84166666666667,14957.608333333335,11128.591666666667,9956.491666666667,0.0,17051.800000000003,7.55
2024-03-23 15:00:00-05:00,43840.833333333336,3243.091666666667,41.90833333333334,3734.191666666666,114.23333333333333,13722.658333333333,13492.441666666668,9539.333333333334,0.0,16625.733333333334,8.01
2024-03-23 16:00:00-05:00,44674.083333333336,3228.8250000000003,41.958333333333336,3732.7500000000005,131.5,11986.091666666665,16019.641666666668,9799.108333333334,0.0,16668.350000000002,8.52
2024-03-23 17:00:00-05:00,45141.5,3243.5166666666664,41.99166666666667,3732.5499999999997,154.26666666666668,8444.1,18049.708333333332,11554.066666666666,0.0,18647.691666666666,9.67
2024-03-23 18:00:00-05:00,44947.083333333336,4004.9250000000006,66.95833333333333,3733.7999999999997,166.46666666666667,3546.291666666666,19424.374999999996,14001.641666666665,0.0,21976.416666666668,13.15
2024-03-23 19:00:00-05:00,44786.583333333336,5248.349999999999,64.89166666666667,3733.0333333333333,275.00000000000006,359.75833333333327,20314.766666666666,14807.299999999997,0.0,24112.058333333334,24.42
2024-03-23 20:00:00-05:00,45237.166666666664,5060.083333333333,41.89166666666667,3733.116666666667,143.70833333333334,0.775,22480.441666666666,14042.083333333334,0.0,22755.95,16.26
2024-03-23 21:00:00-05:00,44456.833333333336,4066.0000000000005,41.925,3732.5916666666667,127.45833333333333,1.0416666666666667,23586.09166666667,13093.316666666666,0.0,20869.699999999997,10.55
2024-03-23 22:00:00-05:00,42626.083333333336,3668.5833333333335,41.85833333333333,3733.0833333333335,52.73333333333334,0.9083333333333333,23638.733333333334,11619.258333333333,0.0,18986.44166666667,7.6
2024-03-23 23:00:00-05:00,40767.333333333336,3262.1000000000004,41.858333333333334,3733.125,76.375,0.75,24066.983333333334,9591.358333333334,0.0,16699.600000000002,4.56
2024-03-24 00:00:00-05:00,39089.833333333336,3221.8500000000004,41.849999999999994,3732.816666666667,84.92500000000001,0.6583333333333333,24495.866666666665,7616.749999999999,0.0,14593.308333333332,1.36
2024-03-24 01:00:00-05:00,37798.083333333336,3127.2000000000003,41.925000000000004,3736.1999999999994,64.51666666666667,0.7166666666666667,24622.333333333332,6299.708333333335,0.0,13175.033333333333,1.32
2024-03-24 02:00:00-05:00,37133.916666666664,2889.7666666666664,41.88333333333333,3737.900000000001,67.19166666666668,0.6333333333333332,24388.850000000002,6126.650000000001,0.0,12744.433333333334,0.89
2024-03-24 03:00:00-05:00,36591.416666666664,2862.7250000000004,41.891666666666666,3737.9833333333336,75.23333333333333,0.5916666666666667,23948.883333333328,6098.25,0.0,12641.941666666666,0.43
2024-03-24 04:00:00-05:00,36198.166666666664,2849.6416666666664,41.95,3738.683333333334,49.725000000000016,0.5083333333333333,23691.866666666665,6092.4000000000015,0.0,12505.791666666666,0.27
2024-03-24 05:00:00-05:00,36529.833333333336,2845.8416666666667,41.925,3738.9583333333326,68.775,0.6083333333333333,24010.61666666667,6095.466666666667,0.0,12518.608333333332,0.38
2024-03-24 06:00:00-05:00,37291.083333333336,2845.9166666666674,41.94166666666667,3739.308333333333,263.45000000000005,0.725,24482.108333333334,6054.058333333333,0.0,12808.250000000002,4.24
